config,target,metric,value
eregalloc-c2,fixture:pure-rust-aarch64,run_median_s,0.000743
eregalloc-c2,fixture:pure-rust-aarch64,run_min_s,0.000578
eregalloc-c2+spectral,fixture:pure-rust-aarch64,compile_s,0.613
eregalloc-c2+spectral,fixture:pure-rust-aarch64,obj_bytes,9536
eregalloc-c2+spectral,fixture:pure-rust-aarch64,text_bytes,6697
eregalloc-c2+spectral,fixture:pure-rust-aarch64,insns,1640
eregalloc-c2+spectral,fixture:pure-rust-aarch64,ldr_sp,208
eregalloc-c2+spectral,fixture:pure-rust-aarch64,str_sp,223
eregalloc-c2+spectral,fixture:pure-rust-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:pure-rust-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:pure-rust-aarch64,mov_imm,493
eregalloc-c2+spectral,fixture:pure-rust-aarch64,objects,1
eregalloc-c2+spectral,fixture:pure-rust-aarch64,correct,1
eregalloc-c2+spectral,fixture:pure-rust-aarch64,run_median_s,0.000964
eregalloc-c2+spectral,fixture:pure-rust-aarch64,run_min_s,0.000642
baseline,fixture:structs-aarch64,compile_s,0.126
baseline,fixture:structs-aarch64,obj_bytes,2040
baseline,fixture:structs-aarch64,text_bytes,624
baseline,fixture:structs-aarch64,insns,156
baseline,fixture:structs-aarch64,ldr_sp,18
baseline,fixture:structs-aarch64,str_sp,12
baseline,fixture:structs-aarch64,ldp_sp,0
baseline,fixture:structs-aarch64,stp_sp,0
baseline,fixture:structs-aarch64,mov_imm,51
baseline,fixture:structs-aarch64,objects,1
baseline,fixture:structs-aarch64,correct,1
baseline,fixture:structs-aarch64,run_median_s,0.000734
baseline,fixture:structs-aarch64,run_min_s,0.000622
weighted,fixture:structs-aarch64,compile_s,0.148
weighted,fixture:structs-aarch64,obj_bytes,2040
weighted,fixture:structs-aarch64,text_bytes,620
weighted,fixture:structs-aarch64,insns,155
weighted,fixture:structs-aarch64,ldr_sp,17
weighted,fixture:structs-aarch64,str_sp,12
weighted,fixture:structs-aarch64,ldp_sp,0
weighted,fixture:structs-aarch64,stp_sp,0
weighted,fixture:structs-aarch64,mov_imm,51
weighted,fixture:structs-aarch64,objects,1
weighted,fixture:structs-aarch64,correct,1
weighted,fixture:structs-aarch64,run_median_s,0.00075
weighted,fixture:structs-aarch64,run_min_s,0.000629
weighted+remat,fixture:structs-aarch64,compile_s,0.145
weighted+remat,fixture:structs-aarch64,obj_bytes,2040
weighted+remat,fixture:structs-aarch64,text_bytes,620
weighted+remat,fixture:structs-aarch64,insns,155
weighted+remat,fixture:structs-aarch64,ldr_sp,17
weighted+remat,fixture:structs-aarch64,str_sp,12
weighted+remat,fixture:structs-aarch64,ldp_sp,0
weighted+remat,fixture:structs-aarch64,stp_sp,0
weighted+remat,fixture:structs-aarch64,mov_imm,51
weighted+remat,fixture:structs-aarch64,objects,1
weighted+remat,fixture:structs-aarch64,correct,1
weighted+remat,fixture:structs-aarch64,run_median_s,0.00071
weighted+remat,fixture:structs-aarch64,run_min_s,0.000636
weighted+remat+spectral,fixture:structs-aarch64,compile_s,0.126
weighted+remat+spectral,fixture:structs-aarch64,obj_bytes,2040
weighted+remat+spectral,fixture:structs-aarch64,text_bytes,620
weighted+remat+spectral,fixture:structs-aarch64,insns,155
weighted+remat+spectral,fixture:structs-aarch64,ldr_sp,17
weighted+remat+spectral,fixture:structs-aarch64,str_sp,12
weighted+remat+spectral,fixture:structs-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:structs-aarch64,stp_sp,0
weighted+remat+spectral,fixture:structs-aarch64,mov_imm,51
weighted+remat+spectral,fixture:structs-aarch64,objects,1
weighted+remat+spectral,fixture:structs-aarch64,correct,1
weighted+remat+spectral,fixture:structs-aarch64,run_median_s,0.000745
weighted+remat+spectral,fixture:structs-aarch64,run_min_s,0.000566
eregalloc-c0,fixture:structs-aarch64,compile_s,0.131
eregalloc-c0,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c0,fixture:structs-aarch64,text_bytes,620
eregalloc-c0,fixture:structs-aarch64,insns,155
eregalloc-c0,fixture:structs-aarch64,ldr_sp,17
eregalloc-c0,fixture:structs-aarch64,str_sp,12
eregalloc-c0,fixture:structs-aarch64,ldp_sp,0
eregalloc-c0,fixture:structs-aarch64,stp_sp,0
eregalloc-c0,fixture:structs-aarch64,mov_imm,51
eregalloc-c0,fixture:structs-aarch64,objects,1
eregalloc-c0,fixture:structs-aarch64,correct,1
eregalloc-c0,fixture:structs-aarch64,run_median_s,0.000747
eregalloc-c0,fixture:structs-aarch64,run_min_s,0.000631
eregalloc-c0+spectral,fixture:structs-aarch64,compile_s,0.153
eregalloc-c0+spectral,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c0+spectral,fixture:structs-aarch64,text_bytes,620
eregalloc-c0+spectral,fixture:structs-aarch64,insns,155
eregalloc-c0+spectral,fixture:structs-aarch64,ldr_sp,17
eregalloc-c0+spectral,fixture:structs-aarch64,str_sp,12
eregalloc-c0+spectral,fixture:structs-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:structs-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:structs-aarch64,mov_imm,51
eregalloc-c0+spectral,fixture:structs-aarch64,objects,1
eregalloc-c0+spectral,fixture:structs-aarch64,correct,1
eregalloc-c0+spectral,fixture:structs-aarch64,run_median_s,0.000832
eregalloc-c0+spectral,fixture:structs-aarch64,run_min_s,0.000654
eregalloc-c2,fixture:structs-aarch64,compile_s,0.155
eregalloc-c2,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c2,fixture:structs-aarch64,text_bytes,620
eregalloc-c2,fixture:structs-aarch64,insns,155
eregalloc-c2,fixture:structs-aarch64,ldr_sp,17
eregalloc-c2,fixture:structs-aarch64,str_sp,12
eregalloc-c2,fixture:structs-aarch64,ldp_sp,0
eregalloc-c2,fixture:structs-aarch64,stp_sp,0
eregalloc-c2,fixture:structs-aarch64,mov_imm,51
eregalloc-c2,fixture:structs-aarch64,objects,1
eregalloc-c2,fixture:structs-aarch64,correct,1
eregalloc-c2,fixture:structs-aarch64,run_median_s,0.000952
eregalloc-c2,fixture:structs-aarch64,run_min_s,0.00063
eregalloc-c2+spectral,fixture:structs-aarch64,compile_s,0.145
eregalloc-c2+spectral,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c2+spectral,fixture:structs-aarch64,text_bytes,620
eregalloc-c2+spectral,fixture:structs-aarch64,insns,155
