config,target,metric,value
weighted+remat+spectral,fixture:structs-aarch64,mov_imm,51
weighted+remat+spectral,fixture:structs-aarch64,objects,1
weighted+remat+spectral,fixture:structs-aarch64,correct,1
weighted+remat+spectral,fixture:structs-aarch64,run_median_s,0.000334
weighted+remat+spectral,fixture:structs-aarch64,run_min_s,0.000319
baseline,fixture:hello-world-aarch64,compile_s,0.13
baseline,fixture:hello-world-aarch64,obj_bytes,1728
baseline,fixture:hello-world-aarch64,text_bytes,351
baseline,fixture:hello-world-aarch64,insns,85
baseline,fixture:hello-world-aarch64,ldr_sp,13
baseline,fixture:hello-world-aarch64,str_sp,13
baseline,fixture:hello-world-aarch64,ldp_sp,0
baseline,fixture:hello-world-aarch64,stp_sp,0
baseline,fixture:hello-world-aarch64,mov_imm,8
baseline,fixture:hello-world-aarch64,objects,1
baseline,fixture:hello-world-aarch64,correct,1
baseline,fixture:hello-world-aarch64,run_median_s,0.000543
baseline,fixture:hello-world-aarch64,run_min_s,0.000381
weighted,fixture:hello-world-aarch64,compile_s,0.123
weighted,fixture:hello-world-aarch64,obj_bytes,1728
weighted,fixture:hello-world-aarch64,text_bytes,351
weighted,fixture:hello-world-aarch64,insns,85
weighted,fixture:hello-world-aarch64,ldr_sp,13
weighted,fixture:hello-world-aarch64,str_sp,13
weighted,fixture:hello-world-aarch64,ldp_sp,0
weighted,fixture:hello-world-aarch64,stp_sp,0
weighted,fixture:hello-world-aarch64,mov_imm,8
weighted,fixture:hello-world-aarch64,objects,1
weighted,fixture:hello-world-aarch64,correct,1
weighted,fixture:hello-world-aarch64,run_median_s,0.000343
weighted,fixture:hello-world-aarch64,run_min_s,0.000323
weighted+remat,fixture:hello-world-aarch64,compile_s,0.137
weighted+remat,fixture:hello-world-aarch64,obj_bytes,1728
weighted+remat,fixture:hello-world-aarch64,text_bytes,351
weighted+remat,fixture:hello-world-aarch64,insns,85
weighted+remat,fixture:hello-world-aarch64,ldr_sp,13
weighted+remat,fixture:hello-world-aarch64,str_sp,13
weighted+remat,fixture:hello-world-aarch64,ldp_sp,0
weighted+remat,fixture:hello-world-aarch64,stp_sp,0
weighted+remat,fixture:hello-world-aarch64,mov_imm,8
weighted+remat,fixture:hello-world-aarch64,objects,1
weighted+remat,fixture:hello-world-aarch64,correct,1
weighted+remat,fixture:hello-world-aarch64,run_median_s,0.000602
weighted+remat,fixture:hello-world-aarch64,run_min_s,0.000559
